wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230526_113644-ou4kc9w0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run good-silence-1
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh/runs/ou4kc9w0
Episode: 1/10000, Score: -300.0, Epsilon: 1.00
Episode: 2/10000, Score: -300.0, Epsilon: 1.00
Episode: 3/10000, Score: -300.0, Epsilon: 1.00
Episode: 4/10000, Score: -300.0, Epsilon: 0.99
Episode: 5/10000, Score: -300.0, Epsilon: 0.99
Episode: 6/10000, Score: -300.0, Epsilon: 0.99
Episode: 7/10000, Score: -300.0, Epsilon: 0.99
Episode: 8/10000, Score: -300.0, Epsilon: 0.99
Episode: 9/10000, Score: -300.0, Epsilon: 0.99
Episode: 10/10000, Score: -300.0, Epsilon: 0.99
Episode: 11/10000, Score: -300.0, Epsilon: 0.98
Episode: 12/10000, Score: -300.0, Epsilon: 0.98
Episode: 13/10000, Score: -300.0, Epsilon: 0.98
Episode: 14/10000, Score: -300.0, Epsilon: 0.98
Episode: 15/10000, Score: -300.0, Epsilon: 0.98
Episode: 16/10000, Score: -300.0, Epsilon: 0.98
Episode: 17/10000, Score: -300.0, Epsilon: 0.97
Episode: 18/10000, Score: -300.0, Epsilon: 0.97
Episode: 19/10000, Score: -300.0, Epsilon: 0.97
Episode: 20/10000, Score: -300.0, Epsilon: 0.97
Episode: 21/10000, Score: -300.0, Epsilon: 0.97
Episode: 22/10000, Score: -300.0, Epsilon: 0.97
Episode: 23/10000, Score: -300.0, Epsilon: 0.97
Episode: 24/10000, Score: -300.0, Epsilon: 0.96
Episode: 25/10000, Score: -300.0, Epsilon: 0.96
Episode: 26/10000, Score: -300.0, Epsilon: 0.96
Episode: 27/10000, Score: -300.0, Epsilon: 0.96
Episode: 28/10000, Score: -300.0, Epsilon: 0.96
Episode: 29/10000, Score: -300.0, Epsilon: 0.96
Episode: 30/10000, Score: -300.0, Epsilon: 0.96
Episode: 31/10000, Score: -300.0, Epsilon: 0.95
Episode: 32/10000, Score: -300.0, Epsilon: 0.95
Episode: 33/10000, Score: -300.0, Epsilon: 0.95
Episode: 34/10000, Score: -300.0, Epsilon: 0.95
Episode: 35/10000, Score: -300.0, Epsilon: 0.95
Episode: 36/10000, Score: -300.0, Epsilon: 0.95
Episode: 37/10000, Score: -300.0, Epsilon: 0.95
Episode: 38/10000, Score: -300.0, Epsilon: 0.94
Episode: 39/10000, Score: -300.0, Epsilon: 0.94
Episode: 40/10000, Score: -300.0, Epsilon: 0.94
Episode: 41/10000, Score: -300.0, Epsilon: 0.94
Episode: 42/10000, Score: -300.0, Epsilon: 0.94
Episode: 43/10000, Score: -300.0, Epsilon: 0.94
Episode: 44/10000, Score: -300.0, Epsilon: 0.94
Episode: 45/10000, Score: -300.0, Epsilon: 0.93
Episode: 46/10000, Score: -300.0, Epsilon: 0.93
Episode: 47/10000, Score: -300.0, Epsilon: 0.93
Episode: 48/10000, Score: -300.0, Epsilon: 0.93
Episode: 49/10000, Score: -300.0, Epsilon: 0.93
Episode: 50/10000, Score: -300.0, Epsilon: 0.93
Episode: 51/10000, Score: -300.0, Epsilon: 0.93
Episode: 52/10000, Score: -300.0, Epsilon: 0.93
Episode: 53/10000, Score: -300.0, Epsilon: 0.92
Episode: 54/10000, Score: -300.0, Epsilon: 0.92
Episode: 55/10000, Score: -300.0, Epsilon: 0.92
Episode: 56/10000, Score: -300.0, Epsilon: 0.92
Episode: 57/10000, Score: -300.0, Epsilon: 0.92
Episode: 58/10000, Score: -300.0, Epsilon: 0.92
Episode: 59/10000, Score: -300.0, Epsilon: 0.92
Episode: 60/10000, Score: -300.0, Epsilon: 0.91
Episode: 61/10000, Score: -300.0, Epsilon: 0.91
Episode: 62/10000, Score: -300.0, Epsilon: 0.91
Episode: 63/10000, Score: -300.0, Epsilon: 0.91
Episode: 64/10000, Score: -300.0, Epsilon: 0.91
Episode: 65/10000, Score: -300.0, Epsilon: 0.91
Episode: 66/10000, Score: -300.0, Epsilon: 0.91
Episode: 67/10000, Score: -300.0, Epsilon: 0.90
Episode: 68/10000, Score: -300.0, Epsilon: 0.90
Episode: 69/10000, Score: -300.0, Epsilon: 0.90
Episode: 70/10000, Score: -300.0, Epsilon: 0.90
Episode: 71/10000, Score: -300.0, Epsilon: 0.90
Episode: 72/10000, Score: -300.0, Epsilon: 0.90
Episode: 73/10000, Score: -300.0, Epsilon: 0.90
Episode: 74/10000, Score: -300.0, Epsilon: 0.90
Episode: 75/10000, Score: -300.0, Epsilon: 0.89
Episode: 76/10000, Score: -300.0, Epsilon: 0.89
Episode: 77/10000, Score: -300.0, Epsilon: 0.89
Episode: 78/10000, Score: -300.0, Epsilon: 0.89
Episode: 79/10000, Score: -300.0, Epsilon: 0.89
Episode: 80/10000, Score: -300.0, Epsilon: 0.89
Episode: 81/10000, Score: -300.0, Epsilon: 0.89
Episode: 82/10000, Score: -300.0, Epsilon: 0.88
Episode: 83/10000, Score: -300.0, Epsilon: 0.88
Episode: 84/10000, Score: -300.0, Epsilon: 0.88
Episode: 85/10000, Score: -300.0, Epsilon: 0.88
Episode: 86/10000, Score: -300.0, Epsilon: 0.88
Episode: 87/10000, Score: -300.0, Epsilon: 0.88
Episode: 88/10000, Score: -300.0, Epsilon: 0.88
Episode: 89/10000, Score: -300.0, Epsilon: 0.88
Episode: 90/10000, Score: -300.0, Epsilon: 0.87
Episode: 91/10000, Score: -300.0, Epsilon: 0.87
Episode: 92/10000, Score: -300.0, Epsilon: 0.87
Episode: 93/10000, Score: -300.0, Epsilon: 0.87
Episode: 94/10000, Score: -300.0, Epsilon: 0.87
Episode: 95/10000, Score: -300.0, Epsilon: 0.87
