wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230531_143752-9ihfozuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run golden-sunset-3
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh/runs/9ihfozuc
Episode: 1/100000, Score: -300.0, Epsilon: 0.99
Episode: 2/100000, Score: -300.0, Epsilon: 0.98
Episode: 3/100000, Score: -300.0, Epsilon: 0.96
Episode: 4/100000, Score: -300.0, Epsilon: 0.95
Episode: 5/100000, Score: -300.0, Epsilon: 0.93
Episode: 6/100000, Score: -300.0, Epsilon: 0.92
Episode: 7/100000, Score: -300.0, Epsilon: 0.91
Episode: 8/100000, Score: -300.0, Epsilon: 0.89
Episode: 9/100000, Score: -300.0, Epsilon: 0.88
Episode: 10/100000, Score: -300.0, Epsilon: 0.87
Episode: 11/100000, Score: -300.0, Epsilon: 0.85
Episode: 12/100000, Score: -300.0, Epsilon: 0.84
Episode: 13/100000, Score: -300.0, Epsilon: 0.83
Episode: 14/100000, Score: -300.0, Epsilon: 0.82
Episode: 15/100000, Score: -300.0, Epsilon: 0.80
Episode: 16/100000, Score: -300.0, Epsilon: 0.79
Episode: 17/100000, Score: -300.0, Epsilon: 0.78
Episode: 18/100000, Score: -300.0, Epsilon: 0.77
Episode: 19/100000, Score: -300.0, Epsilon: 0.76
Episode: 20/100000, Score: -300.0, Epsilon: 0.75
Episode: 21/100000, Score: -300.0, Epsilon: 0.73
Episode: 22/100000, Score: -300.0, Epsilon: 0.72
Episode: 23/100000, Score: -300.0, Epsilon: 0.71
Episode: 24/100000, Score: -300.0, Epsilon: 0.70
Episode: 25/100000, Score: -300.0, Epsilon: 0.69
Episode: 26/100000, Score: -300.0, Epsilon: 0.68
Episode: 27/100000, Score: -300.0, Epsilon: 0.67
Episode: 28/100000, Score: -300.0, Epsilon: 0.66
Episode: 29/100000, Score: -300.0, Epsilon: 0.65
Episode: 30/100000, Score: -300.0, Epsilon: 0.64
Episode: 31/100000, Score: -300.0, Epsilon: 0.63
Episode: 32/100000, Score: -300.0, Epsilon: 0.62
Episode: 33/100000, Score: -300.0, Epsilon: 0.61
Episode: 34/100000, Score: -300.0, Epsilon: 0.60
Episode: 35/100000, Score: -300.0, Epsilon: 0.60
Episode: 36/100000, Score: -300.0, Epsilon: 0.59
Episode: 37/100000, Score: -300.0, Epsilon: 0.58
Episode: 38/100000, Score: -300.0, Epsilon: 0.57
Episode: 39/100000, Score: -300.0, Epsilon: 0.56
Episode: 40/100000, Score: -300.0, Epsilon: 0.55
Episode: 41/100000, Score: -300.0, Epsilon: 0.54
Episode: 42/100000, Score: -300.0, Epsilon: 0.54
Episode: 43/100000, Score: -300.0, Epsilon: 0.53
Episode: 44/100000, Score: -300.0, Epsilon: 0.52
Episode: 45/100000, Score: -300.0, Epsilon: 0.51
Episode: 46/100000, Score: -300.0, Epsilon: 0.50
Episode: 47/100000, Score: -300.0, Epsilon: 0.50
Episode: 48/100000, Score: -300.0, Epsilon: 0.49
Episode: 49/100000, Score: -300.0, Epsilon: 0.48
Episode: 50/100000, Score: -300.0, Epsilon: 0.48
Episode: 51/100000, Score: -264.0, Epsilon: 0.47
Episode: 52/100000, Score: -300.0, Epsilon: 0.46
Episode: 53/100000, Score: -300.0, Epsilon: 0.46
Episode: 54/100000, Score: -300.0, Epsilon: 0.45
Episode: 55/100000, Score: -300.0, Epsilon: 0.44
Episode: 56/100000, Score: -300.0, Epsilon: 0.44
Episode: 57/100000, Score: -300.0, Epsilon: 0.43
Episode: 58/100000, Score: -300.0, Epsilon: 0.42
Episode: 59/100000, Score: -300.0, Epsilon: 0.42
Episode: 60/100000, Score: -300.0, Epsilon: 0.41
Episode: 61/100000, Score: -300.0, Epsilon: 0.40
Episode: 62/100000, Score: -300.0, Epsilon: 0.40
Episode: 63/100000, Score: -300.0, Epsilon: 0.39
Episode: 64/100000, Score: -300.0, Epsilon: 0.39
Episode: 65/100000, Score: -300.0, Epsilon: 0.38
Episode: 66/100000, Score: -300.0, Epsilon: 0.37
Episode: 67/100000, Score: -300.0, Epsilon: 0.37
Episode: 68/100000, Score: -300.0, Epsilon: 0.36
Episode: 69/100000, Score: -300.0, Epsilon: 0.36
Episode: 70/100000, Score: -300.0, Epsilon: 0.35
Episode: 71/100000, Score: -300.0, Epsilon: 0.35
Episode: 72/100000, Score: -300.0, Epsilon: 0.34
Episode: 73/100000, Score: -300.0, Epsilon: 0.34
Episode: 74/100000, Score: -300.0, Epsilon: 0.33
Episode: 75/100000, Score: -300.0, Epsilon: 0.33
Episode: 76/100000, Score: -300.0, Epsilon: 0.32
Episode: 77/100000, Score: -300.0, Epsilon: 0.32
Episode: 78/100000, Score: -300.0, Epsilon: 0.31
Episode: 79/100000, Score: -300.0, Epsilon: 0.31
Episode: 80/100000, Score: -300.0, Epsilon: 0.30
Episode: 81/100000, Score: -300.0, Epsilon: 0.30
Episode: 82/100000, Score: -300.0, Epsilon: 0.29
Episode: 83/100000, Score: -300.0, Epsilon: 0.29
Episode: 84/100000, Score: -300.0, Epsilon: 0.29
Episode: 85/100000, Score: -300.0, Epsilon: 0.28
Episode: 86/100000, Score: -300.0, Epsilon: 0.28
Episode: 87/100000, Score: -300.0, Epsilon: 0.27
Episode: 88/100000, Score: -300.0, Epsilon: 0.27
Episode: 89/100000, Score: -300.0, Epsilon: 0.27
Episode: 90/100000, Score: -300.0, Epsilon: 0.26
Episode: 91/100000, Score: -300.0, Epsilon: 0.26
Episode: 92/100000, Score: -294.0, Epsilon: 0.25
Episode: 93/100000, Score: -300.0, Epsilon: 0.25
Episode: 94/100000, Score: -283.0, Epsilon: 0.25
Episode: 95/100000, Score: -300.0, Epsilon: 0.24
Episode: 96/100000, Score: -300.0, Epsilon: 0.24
Episode: 97/100000, Score: -242.0, Epsilon: 0.24
