wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230616_112302-yzhz6avz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peachy-snowflake-2
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE/runs/yzhz6avz
Episode: 1/10000, Score: None, Epsilon: -1.00
Episode: 2/10000, Score: 830.1871948242188, Epsilon: -1.00
Episode: 3/10000, Score: 481.3138122558594, Epsilon: -1.00
Episode: 4/10000, Score: 484.35687255859375, Epsilon: -1.00
Episode: 5/10000, Score: 491.57806396484375, Epsilon: -1.00
Episode: 6/10000, Score: 434.0953063964844, Epsilon: -1.00
Episode: 7/10000, Score: 499.67913818359375, Epsilon: -1.00
Episode: 8/10000, Score: 471.2806091308594, Epsilon: -1.00
Episode: 9/10000, Score: 440.40484619140625, Epsilon: -1.00
Episode: 10/10000, Score: 512.883056640625, Epsilon: -1.00
Episode: 11/10000, Score: 554.5494384765625, Epsilon: -1.00
Episode: 12/10000, Score: 512.586669921875, Epsilon: -1.00
Episode: 13/10000, Score: 512.57763671875, Epsilon: -1.00
Episode: 14/10000, Score: 374.53607177734375, Epsilon: -1.00
Episode: 15/10000, Score: 406.61700439453125, Epsilon: -1.00
Episode: 16/10000, Score: 362.40179443359375, Epsilon: -1.00
Episode: 17/10000, Score: 569.621337890625, Epsilon: -1.00
Episode: 18/10000, Score: 527.321533203125, Epsilon: -1.00
Episode: 19/10000, Score: 410.6505126953125, Epsilon: -1.00
Episode: 20/10000, Score: 366.8626708984375, Epsilon: -1.00
Episode: 21/10000, Score: 336.8057861328125, Epsilon: -1.00
Episode: 22/10000, Score: 348.5218200683594, Epsilon: -1.00
Episode: 23/10000, Score: 393.53216552734375, Epsilon: -1.00
Episode: 24/10000, Score: 363.60943603515625, Epsilon: -1.00
Episode: 25/10000, Score: 343.1956481933594, Epsilon: -1.00
Episode: 26/10000, Score: 384.514892578125, Epsilon: -1.00
Episode: 27/10000, Score: 329.9541015625, Epsilon: -1.00
Episode: 28/10000, Score: 388.7745056152344, Epsilon: -1.00
Episode: 29/10000, Score: 271.6819763183594, Epsilon: -1.00
Episode: 30/10000, Score: 338.313232421875, Epsilon: -1.00
Episode: 31/10000, Score: 338.70849609375, Epsilon: -1.00
Episode: 32/10000, Score: 296.05816650390625, Epsilon: -1.00
Episode: 33/10000, Score: 276.5768127441406, Epsilon: -1.00
Episode: 34/10000, Score: 334.1646423339844, Epsilon: -1.00
Episode: 35/10000, Score: 335.08819580078125, Epsilon: -1.00
Episode: 36/10000, Score: 235.41403198242188, Epsilon: -1.00
Episode: 37/10000, Score: 255.6583251953125, Epsilon: -1.00
Episode: 38/10000, Score: 297.1566162109375, Epsilon: -1.00
Episode: 39/10000, Score: 296.76690673828125, Epsilon: -1.00
Episode: 40/10000, Score: 316.83660888671875, Epsilon: -1.00
Episode: 41/10000, Score: 207.8980712890625, Epsilon: -1.00
Episode: 42/10000, Score: 243.86676025390625, Epsilon: -1.00
Episode: 43/10000, Score: 165.51101684570312, Epsilon: -1.00
Episode: 44/10000, Score: 195.01702880859375, Epsilon: -1.00
Episode: 45/10000, Score: 191.5342254638672, Epsilon: -1.00
Episode: 46/10000, Score: 288.03082275390625, Epsilon: -1.00
